cook	create_from_raw_material
cook	create_from_raw_material
cook	change_integrity
fudge	cheat
cook	change
dark	illumination
iniquity	condition
darkness	scene
night	time_period
dark	unenlightenment
office	place_of_business
agency	administrative_unit
function	duty
office	state
office	staff
office	rite
position	occupation
traitor	criminal
double-crosser	deceiver
know	knowing
know	experience
acknowledge	accept
sleep_together	copulate
know	recognize
know	distinguish
know	remember
religion	belief
religion	theological_virtue
religion	institution
fetus	vertebrate
Saturday	weekday
sit	be
sit_down	change_posture
sit	convene
model	expose
ride	travel
sit	be
baby-sit	guard
seat	put
sit	serve
administration	management
administration	body
administration	medication
presidency	tenure
government	social_control
administration	justice
photograph	representation
rally	gathering
rally	feat
rally	convalescence
rally	automobile_race
rally	group_action
beat_up	collect
call_up	call
muster	gather
rally	recover
tease	mock
duel	fight
duel	struggle
duel	contend
hotel	building
volition	faculty
will	purpose
will	legal_document
will	ordain
will	decide
bequeath	give
claim	assertion
claim	assertion
claim	demand
claim	right
title	legal_right
call	demand
claim	affirm
claim	request
claim	request
claim	affirm
claim	necessitate
bobcat	lynx
citizenship	legal_status
citizenship	demeanor
document	writing
document	representation
document	communication
text_file	computer_file
document	record
document	confirm
dad	father
disfavor	inclination
dislike	feeling
state	political_unit
country	administrative_district
nation	people
country	geographical_area
area	region
crap	fecal_matter
bullshit	bunk
jack	small_indefinite_quantity
shit	defecation
asshole	unpleasant_person
damn	worthlessness
denounce	inform
stool	excrete
universe	natural_object
world	class
world	experience
populace	people
world	part
worldly_concern	concern
world	group
world	homo
father	parent
forefather	ancestor
Father	priest
Father	title
Church_Father	theologian
father	leader
founder	originator
don	head
beget	make
hell	region
hell	trouble
Hell	imaginary_place
Hell	imaginary_place
sin	activity
hell	mischief
scraping	fragment
scrape	noise
scrape	bow
scrape	rub
scrape	make
scratch	incise
scrape	bow
scrape	roll_up
skin	injure
trash	discard
quarrel	argue
scrap	convert
steel	alloy
sword	weapon
steel	sharpener
steel	brace
steel	cover
pray	commune
beg	plead
National_Rifle_Association	lobby
course	education
course	series
course	direction
course	action
path	line
class	gathering
course	nutriment
course	layer
course	facility
course	traverse
run	move
course	hunt
Catholic	Christian
disrespect	relate
disrespect	see
losings	financial_loss
loss	transferred_property
loss	decline
loss	failure
loss	disadvantage
loss	experience
loss	sum
personnel_casualty	casualty
passing	death
villain	unwelcome_person
villain	character
information_technology	engineering
crazy	lunatic
refinance	finance
money	medium_of_exchange
money	wealth
money	currency
retail	selling
retail	sell
retail	sell
devil	evil_spirit
devil	exclamation
hellion	troublemaker
monster	unpleasant_person
annoy	displease
devil	cook
follow	travel
follow	result
follow	travel
comply	obey
follow	result
follow	imitate
follow	be
adopt	choose
take_after	imitate
trace	analyze
watch	check
play_along	play
come	originate
follow	act
follow	practice
pursue	travel
follow	understand
stick_to	persevere
coward	person
mock	derision
mock	treat
mock	imitate
europium	metallic_element
European_Union	world_organization
see	perceive
witness	experience
visualize	imagine
see	think
watch	watch
see	verify
see	visit
see	visit
visit	tour
attend	care
see	receive
go_steady	consort
see	see
see	consider
see	detect
experience	undergo
see	accompany
see	bet
interpret	understand
collar	seize
check	defend
catch	attract
halt	stop
china	porcelain
chinaware	crockery
kind	category
sesame	herb
wall	partition
wall	object
wall	stratum
wall	difficulty
wall	geological_formation
wall	layer
wall	fence
rampart	embankment
wall	protect
brain	neural_structure
brain	intelligence
mind	cognition
genius	intellectual
brain	variety_meat
brain	hit
brain	kill
growth	organic_process
growth	development
increase	process
growth	vegetation
emergence	beginning
growth	illness
growth	object
talk_through_one's_hat	feign
discord	disorder
discord	disagreement
discordance	dissonance
discord	strife
disagree	be
wrong	injustice
wrong	injury
wrong	treat
show	entertainment
display	demonstration
show	social_event
appearance	pretense
show	show
prove	confirm
testify	inform
picture	represent
express	convey
indicate	inform
show	appear
read	indicate
show	read
usher	lead
show	race
criminal	principal
drink	helping
drink	intemperance
beverage	food
beverage	liquid
drink	body_of_water
swallow	consumption
drink	consume
drink	consume
toast	honor
drink_in	steep
drink	use
liberal	adult
liberal	adult
great	achiever
fine	penalty
ticket	book
Tho	Tai
like	kind
like	kind
wish	desire
like	see
like	desire
bunk	drivel
game	activity
game	contest
game	diversion
game	animal
game	part
game	score
game	meat
plot	scheme
game	game_equipment
game	occupation
game	play
bet_on	bet
requirement	duty
necessity	thing
prerequisite	duty
information_technology	engineering
beryllium	metallic_element
embody	typify
be	take
be	stay
cost	be
dump	discard
dump	get_rid_of
dump	sell
dump	drop
plunge	drop
deck	beat
doll	plaything
dame	girl
typing	writing
type	write
type	identify
Federal_Bureau_of_Investigation	law_enforcement_agency
fuck	sexual_intercourse
sleep_together	copulate
read	publication
read	interpret
read	have
read	talk
read	interpret
read	predict
take	interpret
read	indicate
read	audition
read	understand
understand	understand
crying	bodily_process
tear	drop
rip	opening
bust	revel
tear	separation
tear	separate
tear	separate
tear	rush
pluck	strip
tear	cry
champion	rival
champion	defender
supporter	advocate
ace	expert
champion	back
donate	give
hesitation	indecision
reluctance	unwillingness
hesitation	pause
go	act
go	exit
become	change_state
run	be
run	be
proceed	happen
go	disappear
go	be
sound	cause_to_be_perceived
run_low	end
move	change
die	change_state
belong	be
go	compare
blend	harmonize
go	be
fit	fit
rifle	search
plump	choose
fail	change
nothing	relative_quantity
zero	digit
zero	numerical_quantity
zero	sight_setting
zero	adjust
zero	adjust
motivate	cause
incite	provoke
firm	business
tauten	tighten
tauten	tighten
dam	barrier
decameter	metric_linear_unit
dam	female
dam	obstruct
pope	Catholic
pope	spiritual_leader
rain	precipitation
rain	fresh_water
rain	sequence
rain	precipitate
hamstring	torment
hamstring	cripple
plan	idea
design	arrangement
plan	drawing
plan	intend
plan	think
plan	create_by_mental_act
design	create_by_mental_act
senate	legislature
United_States_Senate	senate
doctor	medical_practitioner
Doctor_of_the_Church	theologian
doctor	play
doctor	scholar
sophisticate	load
doctor	treat
repair	better
concern	interest
concern	anxiety
concern	sympathy
concern	negative_stimulus
business	enterprise
homosexual	person
following	multitude
pursuit	motion
follow	travel
follow	result
follow	travel
comply	obey
follow	result
follow	imitate
follow	be
adopt	choose
take_after	imitate
trace	analyze
watch	check
play_along	play
come	originate
follow	act
follow	practice
pursue	travel
follow	understand
stick_to	persevere
food	substance
food	solid
food	content
medium	instrumentality
medium	environment
medium	communication
culture_medium	food
medium	liquid
medium	substance
medium	substance
medium	state
medium	psychic
medium	transmission
metier	occupation
recover	get
recuperate	better
recover	revert
recover	get
reclaim	recycle
recover	cover
runaway	victory
church	religion
church	place_of_worship
church_service	service
church	body
church	perform
reduce	change_state
bitter	ale
bitter	taste
bitterness	taste_property
bitter	change_taste
stage	re-create
stage	initiate
denounce	inform
spy	monitor
sixty	large_integer
east	cardinal_compass_point
east	direction
east	location
news	information
news	information
news_program	broadcast
news	information
newsworthiness	interest
kennel	outbuilding
kennel	shelter
kennel	shelter
liar	deceiver
cold	communicable_disease
cold	respiratory_disease
coldness	temperature
coldness	vasoconstrictor
cold	temperature
tournament	contest
tournament	contest
potter	craftsman
putter	work
potter	busy
putter	move
leftism	political_orientation
crime	transgression
crime	transgression
demigod	leader
acid	lysergic_acid_diethylamide
call	telephone
Call	inclination
cry	utterance
call	demand
birdcall	animal_communication
call	visit
margin_call	demand
call	demand
call	request
call	instruction
call	visit
call	decision
call_option	option
name	label
call	label
call	telecommunicate
shout	utter
call	order
visit	meet
call	request
call	read
call	telecommunicate
call	utter
call	postpone
address	address
call	stop
call	demand
bid	play
call	indicate
predict	guess
call	ask
call	challenge
call	declare
call	entice
call	order
call	request
call	utter
call	challenge
call	see
call	awaken
embody	typify
be	take
be	stay
cost	be
channel	transmission
channel	passage
groove	depression
channel	body_of_water
